borough,neighborhood,price,service fee,review rate number,number of listings
Bronx,Allerton,648,129,3.3,94
Bronx,Baychester,524,104,3.52,29
Bronx,Belmont,662,132,3.27,44
Bronx,Bronxdale,574,114,3.23,47
Bronx,Castle Hill,480,96,2.81,16
Bronx,City Island,647,129,3.71,41
Bronx,Claremont Village,639,127,3.35,55
Bronx,Clason Point,589,117,3.52,48
Bronx,Co-op City,527,105,4.4,5
Bronx,Concourse,677,135,3.07,122
Bronx,Concourse Village,535,107,3.36,73
Bronx,East Morrisania,764,152,3.0,21
Bronx,Eastchester,677,135,3.15,27
Bronx,Edenwald,630,126,3.36,33
Bronx,Fieldston,696,139,3.36,25
Bronx,Fordham,644,129,3.21,152
Bronx,Highbridge,681,136,3.09,65
Bronx,Hunts Point,608,121,3.14,51
Bronx,Kingsbridge,574,114,3.34,163
Bronx,Longwood,669,133,3.37,132
Bronx,Melrose,574,114,3.57,23
Bronx,Morris Heights,742,148,3.2,46
Bronx,Morris Park,706,141,3.18,45
Bronx,Morrisania,571,114,3.18,44
Bronx,Mott Haven,616,123,3.42,144
Bronx,Mount Eden,661,132,3.82,17
Bronx,Mount Hope,626,125,3.3,54
Bronx,North Riverdale,736,147,3.36,28
Bronx,Norwood,632,126,3.11,76
Bronx,Olinville,684,136,3.09,22
Bronx,Parkchester,634,126,3.31,98
Bronx,Pelham Bay,728,145,3.33,42
Bronx,Pelham Gardens,607,121,3.31,72
Bronx,Port Morris,575,115,3.31,99
Bronx,Riverdale,741,148,3.29,17
Bronx,Schuylerville,659,131,3.51,47
Bronx,Soundview,614,122,3.39,33
Bronx,Spuyten Duyvil,293,58,2.89,9
Bronx,Throgs Neck,680,136,3.41,58
Bronx,Tremont,563,112,3.57,28
Bronx,Unionport,541,108,3.67,21
Bronx,University Heights,618,123,3.36,55
Bronx,Van Nest,590,118,3.23,26
Bronx,Wakefield,627,125,3.3,155
Bronx,West Farms,463,92,4.0,6
Bronx,Westchester Square,560,111,3.65,23
Bronx,Williamsbridge,628,125,3.52,96
Bronx,Woodlawn,587,117,3.31,29
Brooklyn,Bath Beach,725,145,3.17,47
Brooklyn,Bay Ridge,618,123,3.16,295
Brooklyn,Bedford-Stuyvesant,622,124,3.28,7795
Brooklyn,Bensonhurst,591,118,3.24,157
Brooklyn,Bergen Beach,583,116,2.83,30
Brooklyn,Boerum Hill,623,124,3.3,349
Brooklyn,Borough Park,611,122,3.46,266
Brooklyn,Brighton Beach,658,131,3.4,168
Brooklyn,Brooklyn Heights,598,119,3.15,302
Brooklyn,Brownsville,671,134,3.48,153
Brooklyn,Bushwick,632,126,3.27,4885
Brooklyn,Canarsie,628,125,3.39,401
Brooklyn,Carroll Gardens,643,128,3.26,466
Brooklyn,Clinton Hill,633,126,3.22,1114
Brooklyn,Cobble Hill,634,126,3.17,198
Brooklyn,Columbia St,716,143,3.39,89
Brooklyn,Coney Island,695,139,3.08,50
Brooklyn,Crown Heights,618,123,3.28,3192
Brooklyn,Cypress Hills,628,125,3.32,327
Brooklyn,DUMBO,574,114,2.88,69
Brooklyn,Downtown Brooklyn,593,118,3.4,173
Brooklyn,Dyker Heights,617,123,3.2,25
Brooklyn,East Flatbush,642,128,3.3,1186
Brooklyn,East New York,608,121,3.33,597
Brooklyn,Flatbush,650,130,3.23,1266
Brooklyn,Flatlands,641,128,3.17,214
Brooklyn,Fort Greene,613,122,3.18,928
Brooklyn,Fort Hamilton,573,114,3.48,118
Brooklyn,Gerritsen Beach,694,138,4.33,3
Brooklyn,Gowanus,643,128,3.14,487
Brooklyn,Gravesend,699,139,3.28,141
Brooklyn,Greenpoint,612,122,3.22,2078
Brooklyn,Kensington,611,122,3.33,364
Brooklyn,Manhattan Beach,694,138,2.41,22
Brooklyn,Midwood,592,118,3.47,229
Brooklyn,Mill Basin,775,155,3.79,14
Brooklyn,Navy Yard,490,98,3.43,30
Brooklyn,Park Slope,607,121,3.25,979
Brooklyn,Prospect Heights,649,129,3.13,684
Brooklyn,Prospect-Lefferts Gardens,643,128,3.29,1135
Brooklyn,Red Hook,631,126,3.11,178
Brooklyn,Sea Gate,597,119,3.06,17
Brooklyn,Sheepshead Bay,624,124,3.25,359
Brooklyn,South Slope,650,130,3.18,554
Brooklyn,Sunset Park,630,126,3.17,851
Brooklyn,Vinegar Hill,635,127,3.08,72
Brooklyn,Williamsburg,625,125,3.24,7608
Brooklyn,Windsor Terrace,575,115,3.08,322
Manhattan,Battery Park City,592,118,3.23,115
Manhattan,Chelsea,633,126,3.26,2230
Manhattan,Chinatown,634,126,3.17,773
Manhattan,Civic Center,626,125,3.47,107
Manhattan,East Harlem,625,125,3.33,2274
Manhattan,East Village,618,123,3.27,3388
Manhattan,Financial District,623,124,3.41,1470
